supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day,month,year
acacia,1,1,90,100,10,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:33,night,small,saika,mid,saturday,weekend,no,20,5,2017
acacia,1,1,90,500,410,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:12,night,small,saika,mid,saturday,weekend,no,20,5,2017
acacia,3,1,270,300,30,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:16,night,small,saika,mid,saturday,weekend,no,20,5,2017
acacia,3,1,137,200,63,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:12,night,small,saika,mid,saturday,weekend,no,20,5,2017
acacia,1,1,75,80,5,cash,yes,no,no,no,no,no,no,20/05/2017,no,18:31,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017
nakumatt,22,3,5611,5611,0,card,yes,no,no,yes,yes,no,no,24/12/2016,no,16:26,afternoon,chain,cbd,mid,wednesday,weekday,yes,24,12,2016
acacia,1,1,55,100,45,cash,yes,no,no,no,no,no,no,20/05/2017,no,18:23,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017
chandarana,32,3,7955,7955,0,mpesa,yes,no,no,yes,yes,no,no,03/01/2017,yes,19:03,night,median,yaya,high,tuesday,weekday,no,3,1,2017
nakumatt,1,1,780,1000,220,cash,no,no,no,yes,no,no,no,27/03/2017,yes,19:34,night,chain,kilimani,high,monday,weekday,no,27,3,2017
acacia,1,1,235,500,265,cash,no,no,no,yes,no,no,no,15/05/2017,no,14:06,afternoon,small,saika,mid,monday,weekday,no,15,5,2017
tuskys,33,6,13005,13001,0,card,yes,no,no,yes,yes,yes,no,07/12/2016,yes,8:56,morning,chain,donholm,mid,wednesday,weekday,no,7,12,2016
nakumatt,2,1,431,500,68,cash,yes,no,yes,no,yes,no,no,23/07/2016,yes,11:17,morning,chain,likoni,mid,saturday,weekend,no,23,7,2016
nakumatt,3,1,1000,1000,0,cash,no,no,no,yes,no,no,no,20/08/2016,no,9:07,morning,chain,cbd,mid,saturday,weekend,yes,20,8,2016
uchumi,5,2,242,500,258,cash,no,no,no,no,no,yes,no,20/10/2016,no,17:41,afternoon,chain,makadara,mid,thursday,weekday,no,20,10,2016
nakumatt,1,1,2420,2460,0,card,no,no,no,no,yes,no,no,11/11/2016,yes,8:16,morning,chain,kilimani,high,friday,weekday,no,11,11,2016
nakumatt,12,2,4926,4926,0,card,yes,no,no,no,yes,no,no,11/11/2016,yes,8:44,morning,chain,kilimani,high,friday,weekday,no,11,11,2016
nakumatt,4,2,5439,5439,0,mpesa,yes,no,no,no,no,no,no,28/11/2016,yes,6:49,morning,chain,kilimani,high,monday,weekday,no,28,11,2016
nakumatt,5,1,8110,8110,0,mpesa,no,no,no,no,yes,no,no,13/01/2017,yes,17:40,afternoon,chain,kilimani,high,friday,weekday,no,13,1,2017
nakumatt,3,1,221,300,79,cash,yes,no,no,no,no,no,no,11/01/2017,yes,14:31,afternoon,chain,kilimani,high,wednesday,weekday,no,11,1,2017
nakumatt,2,1,584,1000,496,cash,yes,no,no,no,no,no,no,03/01/2017,yes,9:00,morning,chain,kilimani,high,tuesday,weekday,no,3,1,2017
nakumatt,5,1,850,850,0,card,no,no,yes,no,no,no,no,29/11/2016,yes,5:51,night,chain,kilimani,high,thursday,weekday,no,29,11,2016
acacia,1,1,90,500,410,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:10,afternoon,small,saika,mid,monday,weekday,no,22,5,2017
acacia,1,1,175,205,30,cash,yes,no,no,no,no,no,no,21/05/2017,no,8:56,morning,small,saika,mid,sunday,weekday,no,21,5,2017
acacia,1,1,170,200,30,cash,no,no,yes,no,no,no,no,22/05/2017,no,13:21,afternoon,small,saika,mid,monday,weekday,no,22,5,2017
acacia,1,1,55,60,5,cash,no,no,yes,no,no,no,no,22/05/2017,no,13:47,afternoon,small,saika,mid,monday,weekday,no,22,5,2017
